cycle,soh_A,ri_A,temp_A,curr_A,soh_B,ri_B,temp_B,curr_B
215,57.10009550665087,0.13147988539201896,35.518390831361515,2.0,67.5229208061138,0.11897249503266345,27.37944990065327,1.0
216,56.8791189546698,0.13174505725439623,35.5396045803517,2.0,67.38007808706753,0.11914390629551896,27.38287812591038,1.0
217,56.65793875069842,0.1320104734991619,35.56083787993295,2.0,67.23720245705879,0.11931535705152946,27.38630714103059,1.0
218,56.436554707051066,0.13227613435153873,35.5820907481231,2.0,67.0942939085049,0.11948684730979413,27.38973694619588,1.0
219,56.21496663586908,0.1325420400369571,35.60336320295657,2.0,66.95135243382141,0.1196583770794143,27.393167541588287,1.0
220,55.9931743491207,0.13280819078105516,35.62465526248441,2.0,66.80837802542216,0.11982994636949341,27.396598927389867,1.0
221,55.77117765860085,0.13307458680967899,35.645966944774315,2.0,66.66537067571922,0.12000155518913694,27.400031103782737,1.0
222,55.54897637593101,0.1333412283488828,35.667298267910624,2.0,66.5223303771229,0.12017320354745252,27.40346407094905,1.0
223,55.32657031255907,0.1336081156249291,35.68864924999433,2.0,66.37925712204179,0.12034489145354986,27.406897829070996,1.0
224,55.103959279759124,0.13387524886428906,35.71001990914313,2.0,66.23615090288271,0.12051661891654075,27.410332378330814,1.0
225,54.88114308863135,0.1341426282936424,35.73141026349139,2.0,66.09301171205074,0.12068838594553911,27.413767718910783,1.0
226,54.65812155010183,0.1344102541398778,35.75282033119022,2.0,65.94983954194919,0.12086019254966097,27.417203850993218,1.0
227,54.43489447492241,0.13467812663009313,35.77425013040745,2.0,65.80663438497966,0.12103203873802441,27.42064077476049,1.0
228,54.2114616736705,0.1349462459915954,35.79569967932763,2.0,65.66339623354196,0.12120392451974965,27.424078490394994,1.0
229,53.98782295674896,0.13521461245190125,35.8171689961521,2.0,65.52012508003416,0.12137584990395901,27.42751699807918,1.0
230,53.763978134385894,0.13548322623873693,35.83865809909895,2.0,65.37682091685261,0.12154781489977687,27.430956297995536,1.0
231,53.53992701663454,0.13575208758003854,35.86016700640308,2.0,65.23348373639185,0.12171981951632979,27.434396390326597,1.0
